iter	Passed	Remaining
0	147	147231
1	149	74450
2	150	50173
3	152	37972
4	154	30671
5	155	25789
6	157	22331
7	159	19731
8	160	17694
9	162	16059
10	163	14726
11	165	13613
12	167	12691
13	168	11881
14	170	11224
15	172	10625
16	174	10087
17	175	9598
18	177	9159
19	178	8764
20	180	8405
21	181	8089
22	183	7797
23	185	7528
24	186	7283
25	188	7058
26	190	6848
27	191	6656
28	193	6475
29	195	6309
30	196	6150
31	198	6003
32	200	5863
33	201	5736
34	203	5615
35	205	5496
36	206	5382
37	208	5282
38	210	5181
39	211	5083
40	213	4995
41	215	4910
42	217	4831
43	218	4751
44	220	4681
45	222	4609
46	223	4540
47	225	4479
48	227	4421
49	229	4367
50	231	4312
51	233	4259
52	235	4208
53	237	4154
54	238	4100
55	240	4050
56	241	4001
57	243	3954
58	245	3912
59	247	3871
60	248	3829
61	250	3784
62	251	3745
63	253	3704
64	254	3666
65	256	3628
66	257	3591
67	258	3548
68	260	3519
69	262	3488
70	264	3459
71	265	3428
72	267	3395
73	268	3365
74	270	3335
75	271	3305
76	273	3277
77	275	3252
78	276	3228
79	278	3204
80	280	3178
81	281	3154
82	283	3129
83	284	3105
84	285	3075
85	287	3058
86	289	3041
87	291	3024
88	293	3003
89	294	2981
90	296	2960
91	297	2939
92	299	2919
93	300	2899
94	302	2882
95	304	2864
96	306	2849
97	307	2832
98	309	2814
99	310	2796
100	312	2778
101	312	2755
102	314	2740
103	316	2724
104	317	2707
105	319	2694
106	321	2679
107	322	2665
108	324	2650
109	325	2635
110	327	2621
111	328	2605
112	330	2591
113	331	2576
114	333	2563
115	334	2549
116	336	2538
117	337	2526
118	339	2513
119	340	2500
120	342	2487
121	343	2475
122	344	2458
123	346	2444
124	347	2432
125	349	2422
126	351	2413
127	352	2399
128	353	2387
129	355	2376
130	356	2365
131	358	2355
132	359	2345
133	361	2334
134	362	2323
135	364	2316
136	366	2308
137	367	2297
138	369	2288
139	370	2278
140	372	2268
141	373	2258
142	375	2249
143	376	2240
144	378	2234
145	380	2225
146	382	2217
147	383	2209
148	385	2199
149	386	2190
150	388	2181
151	389	2173
152	391	2165
153	392	2156
154	394	2149
155	395	2142
156	397	2134
157	399	2126
158	400	2118
159	402	2110
160	403	2103
161	405	2095
162	406	2087
163	408	2081
164	410	2074
165	411	2067
166	413	2061
167	414	2054
168	416	2048
169	418	2042
170	419	2035
171	421	2027
172	422	2021
