iter	Passed	Remaining
0	148	148242
1	150	75112
2	155	51642
3	157	39284
4	159	31799
5	161	26742
6	163	23136
7	165	20473
8	166	18376
9	168	16707
10	170	15357
11	172	14218
12	174	13262
13	177	12492
14	179	11770
15	180	11125
16	183	10585
17	185	10120
18	189	9761
19	191	9372
20	192	8995
21	194	8653
22	196	8347
23	200	8160
24	203	7929
25	205	7685
26	206	7458
27	208	7240
28	210	7036
29	212	6886
30	214	6715
31	216	6563
32	218	6410
33	220	6276
34	222	6132
35	224	6007
36	226	5899
37	228	5790
38	230	5689
39	232	5588
40	234	5484
41	235	5382
42	237	5287
43	239	5198
44	240	5111
45	242	5039
46	244	4961
47	246	4893
48	248	4819
49	249	4749
50	251	4685
51	253	4617
52	254	4554
53	256	4498
54	258	4447
55	260	4394
56	262	4341
57	264	4291
58	265	4237
59	267	4186
60	268	4139
61	271	4103
62	273	4065
63	275	4029
64	277	3986
65	278	3945
66	280	3904
67	281	3864
68	283	3825
69	285	3796
70	287	3762
71	289	3728
72	291	3696
73	292	3661
74	294	3629
75	296	3598
76	297	3567
77	299	3536
78	301	3510
79	303	3484
80	304	3456
81	306	3430
82	307	3396
83	309	3369
84	310	3341
85	311	3314
86	313	3288
87	315	3270
88	317	3250
89	319	3232
90	321	3207
91	323	3188
92	324	3167
93	326	3145
94	327	3122
95	330	3114
96	332	3095
97	334	3077
98	335	3056
99	337	3036
100	338	3016
101	340	2999
102	342	2982
103	345	2975
104	347	2959
105	349	2944
106	350	2927
107	352	2910
108	354	2898
109	356	2882
110	358	2867
111	360	2854
112	361	2839
113	363	2825
114	365	2810
115	367	2796
116	369	2789
117	371	2774
118	372	2761
119	375	2755
120	377	2742
121	379	2728
122	381	2716
123	382	2704
124	384	2689
125	386	2677
126	387	2663
127	389	2652
128	391	2644
129	393	2632
130	394	2619
131	396	2607
132	398	2595
133	399	2583
134	401	2572
135	403	2560
136	404	2550
137	406	2539
138	408	2528
139	409	2517
140	411	2506
141	412	2492
142	414	2483
143	416	2473
144	417	2463
145	419	2454
146	421	2447
147	423	2436
148	424	2426
149	426	2417
150	428	2406
151	429	2396
152	431	2386
153	432	2377
154	434	2368
155	436	2360
156	437	2351
157	439	2341
158	441	2332
159	442	2324
160	443	2312
161	445	2303
162	446	2295
163	448	2288
164	450	2280
165	452	2272
166	453	2263
167	455	2255
168	456	2246
169	458	2238
170	460	2230
171	462	2224
172	463	2217
173	465	2209
174	467	2201
175	468	2194
176	470	2186
177	471	2178
178	473	2171
179	475	2164
180	476	2157
181	478	2150
182	480	2143
183	481	2136
184	483	2128
185	484	2121
186	486	2114
187	488	2107
188	489	2100
189	491	2093
190	492	2087
191	494	2081
192	496	2075
193	497	2068
194	499	2062
195	501	2055
196	502	2049
197	504	2042
198	506	2036
199	507	2031
200	509	2025
201	511	2019
202	512	2012
203	514	2006
204	515	1999
205	517	1993
206	518	1987
207	520	1981
208	522	1976
209	523	1970
210	525	1964
211	526	1958
212	528	1953
213	530	1948
214	531	1942
215	533	1936
216	535	1931
217	536	1925
218	538	1920
219	539	1914
220	541	1908
221	542	1902
222	544	1897
223	546	1892
224	548	1887
225	549	1882
226	551	1877
227	553	1872
228	554	1867
229	556	1861
230	557	1856
231	559	1851
232	560	1846
233	562	1841
234	564	1836
235	565	1832
236	567	1827
237	568	1821
238	570	1816
239	572	1811
240	573	1806
241	575	1801
242	576	1796
243	578	1791
244	580	1787
245	581	1783
246	583	1778
247	585	1775
248	587	1770
